track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,decade,mood
Wild Things,Alessia Cara,spotify:track:2ZyuwVvV6Z3XJaXIFbspeE,0.741,0.626,1,-4.826,0,0.0886,0.02,0.0,0.0828,0.706,108.029,188493,4,41.18681,10,2010s,happy
Surfboard,Esquivel!,spotify:track:61APOtq25SCMuK0V5w2Kgp,0.447,0.247,5,-14.661,0,0.0346,0.871,0.814,0.0946,0.25,155.489,176880,3,33.18083,9,2010s,sad
Love Someone,Lukas Graham,spotify:track:2JqnpexlO9dmvjUMCaLCLJ,0.55,0.415,9,-6.557,0,0.052,0.161,0.0,0.108,0.274,172.065,205463,4,44.89147,9,2010s,fear
Music To My Ears (feat. Tory Lanez),Keys N Krates,spotify:track:0cjfLhk8WJ3etPTCseKXtk,0.502,0.648,0,-5.698,0,0.0527,0.00513,0.0,0.204,0.291,91.837,193043,4,29.52521,7,2010s,sad
Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,spotify:track:1lItf5ZXJc1by9SbPeljFd,0.807,0.887,1,-3.892,1,0.275,0.00381,0.0,0.391,0.78,160.517,144244,4,24.99199,8,2010s,happy
Here's To Never Growing Up,Avril Lavigne,spotify:track:0qwcGscxUHGZTgq0zcaqk1,0.482,0.873,0,-3.145,1,0.0853,0.0111,0.0,0.409,0.737,165.084,214320,4,32.17301,12,2010s,happy
Sex Metal Barbie,In This Moment,spotify:track:75BGF4LC7AOLFfxn6ukZDH,0.533,0.935,0,-3.704,1,0.128,0.0139,0.0,0.168,0.481,140.092,262493,4,21.0451,14,2010s,surprise
Helluva Night,Ludacris,spotify:track:0flKDWZq11997Fb2ptkQvu,0.736,0.522,2,-8.02,1,0.116,0.0299,0.0,0.108,0.369,97.547,200387,4,60.21027,10,2010s,happy
Holiday With HH,No Bros,spotify:track:7LBa0KNFR8IY3g7LOfXqu8,0.166,0.985,7,-2.886,1,0.17,0.00183,0.0142,0.958,0.139,174.725,252787,4,31.23583,11,2010s,angry
My Last,Big Sean Featuring Chris Brown,spotify:track:70tFuqBcduJv15bEnOPRTh,0.387,0.773,8,-5.685,1,0.17,0.098,0.0,0.209,0.368,78.629,254120,4,23.30245,9,2010s,happy
Break Up In The End,Cole Swindell,spotify:track:5Z19ylxppfnfdP4JH0u8oj,0.507,0.372,1,-8.433,1,0.0303,0.481,0.0,0.271,0.257,86.422,199693,4,36.66287,10,2010s,sad
Cirrus,Bonobo,spotify:track:2lJ4d8MCT6ZlDRHKJ1br14,0.64,0.844,2,-8.412,0,0.0374,0.395,0.933,0.0827,0.364,119.042,352247,4,80.60317,13,2010s,sad
"Theme From ""Bus Stop""",Jackie Gleason,spotify:track:5Jd78KUwqhZcY5msCpsDLw,0.245,0.0935,5,-19.343,1,0.0373,0.748,0.254,0.0963,0.107,124.385,222787,4,20.536,12,2010s,sad
Crawling Back To You,Daughtry,spotify:track:6BDtTzjbJ5kKKSWcJT8MlX,0.438,0.919,0,-2.91,0,0.0495,0.00674,0.0,0.158,0.195,151.026,225813,4,34.01444,8,2010s,angry
Maze of Martyr (Official Dominator 2017 anthem) - Radio Edit,Dj Mad Dog,spotify:track:1hW21b9IQeETvRqMwnn2F7,0.32,0.99,1,-2.454,1,0.344,0.00902,0.00032,0.107,0.0424,178.107,232541,4,41.48721,14,2010s,angry
Hotline Bling,Drake,spotify:track:0wwPcA6wtMf6HUMpIRdeP7,0.891,0.625,2,-7.861,1,0.0558,0.00261,0.000176,0.0504,0.548,134.967,267067,4,69.38968,8,2010s,happy
Cut Her Off,KCamp Featuring 2 Chainz,spotify:track:2Vevs2eAQNNb7NTpKj5kqA,0.769,0.611,8,-2.85,1,0.039,0.098,0.0,0.221,0.0901,144.037,243333,4,38.21223,12,2010s,happy
Beautiful People,Chris Brown Featuring Benny Benassi,spotify:track:0iSaO7CfL9NgXdM8Meu2ul,0.417,0.806,5,-5.339,0,0.16,0.0703,0.00637,0.0841,0.545,127.887,226773,4,14.73978,10,2010s,surprise
Survival,Eminem,spotify:track:3stOygN0I7CIvkEB2LJGbv,0.459,0.899,2,-2.978,1,0.21,0.0038,0.0,0.126,0.437,176.384,272417,4,30.26082,10,2010s,surprise
Squidwards Nose (feat. Kg Prince),Joey Trap,spotify:track:2hLhiONy3FcndFJc2CiC2e,0.634,0.88,1,-1.714,1,0.293,0.169,0.0,0.474,0.548,150.959,119249,4,37.52226,5,2010s,surprise
Windshield,Greensky Bluegrass,spotify:track:7GI1Weh21oGJYeSbrtOyR1,0.48,0.548,0,-9.119,1,0.0328,0.627,0.00502,0.205,0.322,90.109,224853,4,24.45777,9,2010s,happy
Don't Speak (Instrumental),Joseph Sullinger,spotify:track:1DV7nyw8OigFfEiJ3yEFj6,0.526,0.228,0,-12.975,0,0.0542,0.975,0.903,0.106,0.239,143.295,241496,4,40.78298,9,2010s,sad
Faster,Matt Nathanson,spotify:track:6plKFdrBnKF0y3CRuceTDh,0.742,0.853,9,-4.147,1,0.0393,0.00743,4.79e-06,0.332,0.95,107.03,208280,4,43.42073,10,2010s,happy
Sugar,Robin Schulz Featuring Francesco Yates,spotify:track:5tf1VVWniHgryyumXyJM7w,0.636,0.815,5,-5.098,0,0.0581,0.0185,0.0,0.163,0.636,123.063,219043,4,31.44339,10,2010s,surprise
Badges,Yohuna,spotify:track:4gW4lIdFDob87TaoyREAHu,0.481,0.199,7,-14.253,1,0.0326,0.949,0.618,0.12,0.147,127.996,229500,4,47.06457,8,2010s,sad
Art House Director,Broken Social Scene,spotify:track:5feuZknKlJYGMPvWvKrpwt,0.464,0.766,7,-5.298,1,0.041,0.000122,0.0275,0.544,0.335,130.458,212173,5,105.47915,6,2010s,happy
10.000 Falls,Logical Terror,spotify:track:774fmDmDlvsKYdcdBnjp1Z,0.429,0.924,11,-6.456,0,0.135,0.00136,9.78e-06,0.345,0.209,180.033,241583,4,62.60494,12,2010s,fear
