uri,mood
spotify:track:3v6sBj3swihU8pXQQHhDZo,angry
spotify:track:7KCWmFdw0TzoJbKtqRRzJO,happy
spotify:track:2CY92qejUrhyPUASawNVRr,happy
spotify:track:11BPfwVbB7vok7KfjBeW4k,sad
spotify:track:3yUJKPsjvThlcQWTS9ttYx,happy
spotify:track:41MOCUNOgWtaYBFUsGnpZ5,happy
spotify:track:5JP1cMCDxX4k2gwfSgt8Lf,happy
spotify:track:73xsMXuRNB3yqLeNc7NXBq,happy
spotify:track:6TwrBbgTaB5gpl06YQoRKy,sad
spotify:track:5SDEirHg6Y8fCYuKMnAaC5,sad
spotify:track:37tp9qtF4YQF0nvaQ3ryB7,angry
spotify:track:5ZWMcomAviWuMGZWbBxmGd,happy
spotify:track:1zDHb1p9J2SUVGqttkIwlW,happy
spotify:track:03ibPDUYi7g1vOC9eJGrsy,happy
spotify:track:1Yt78wXs4KUeMrOxZu8dQT,happy
spotify:track:4grBhZ71RTsPWgykqlUBFA,happy
spotify:track:4KSQ9el0QgTKKie5oCtKLe,angry
spotify:track:6P0dI2yAf2cmg4UrCcStwE,angry
spotify:track:24kirWnsEEyGgbl2NuhSVz,happy
spotify:track:2RKmGDTq840oLpKC0WOaCr,happy
spotify:track:4R06uQw0yBQXWmatdIOlch,sad
spotify:track:2G1T3kqYNyhMjXbqZ4e3vX,angry
spotify:track:6t6bOh1jmVcRke7rmzAegb,happy
spotify:track:2r12KCHNv0p7JQJsGt3vYK,angry
spotify:track:4sofJiicQwKsRo3S1vpt39,happy
spotify:track:2dyrLrVopYKGc3H9oOYSmZ,angry
spotify:track:7AxA87dIJ1FF4l1BQ98ZCZ,angry
spotify:track:5FDdviWQzhw7NWH2TiDl9d,happy
spotify:track:0kJUHCpOr6CFU15kEKAgVF,sad
spotify:track:5WXSmZUK7MAtkcKoBPFyHm,angry
spotify:track:3oqztHfES8jYMyrxPMzWwc,happy
spotify:track:1zZIVe9x0JhdhpuQjLTjIM,sad
spotify:track:3tzlgaWjqZJX0fq2hiQW62,sad
spotify:track:1i6gUYGzJF7XMukcwSwJ7k,happy
spotify:track:6kjeIqdUFA5p6GCtW8PzF3,angry
spotify:track:6S5mz361HiZquQleGlI3aD,sad
spotify:track:2NEBP8SXEqwZt2PRdPXXuy,happy
spotify:track:2oMfpjxWmnLYcgbqkeAjfp,happy
spotify:track:69DR48pXzSabFUfQfDDJDb,angry
spotify:track:5PNcJn4oFNvlRfrZBHfqWh,happy
spotify:track:4whYDpJ5XVQpmvecbEHP5Q,happy
spotify:track:3NgcaTIgVh77DdwAInp996,happy
spotify:track:6NKhY15Y8QaN67bBGxRA2b,happy
spotify:track:0El2Zyt68nYySFDG87hZgM,angry
spotify:track:56eGOeSsqdg3FLxdo83TwV,sad
spotify:track:57gS5wJqIH6sbtBIIiioNY,happy
spotify:track:5qCddjdPnWUfv3ijlcSXnJ,happy
spotify:track:6dnco8haegnJYtylV26cBq,happy
spotify:track:08tq1XcHwVt5PHXUo87i0D,happy
spotify:track:1mffZcVGwEqf9Xbdww0kCD,happy
spotify:track:05AURmTdmCpIaBcww1HrGn,happy
spotify:track:483beWfErq5MZAvC0fJ7cr,happy
spotify:track:7JjymfuNMxQgOQJ4mGOdbg,happy
spotify:track:59fi7eaSe4DuCqfua35m2W,happy
spotify:track:09iyGiljLWRYXdRazFkdtJ,happy
spotify:track:3UJZ4VcHfSWyrMky8vobzv,sad
spotify:track:2xPV95cfbyusygMTxpa3SW,sad
spotify:track:548ddxWI4sZKK1aCLuMR16,happy
spotify:track:3kb9vlB7NCKHNHvYyp8EaL,happy
spotify:track:5nWsaKPbHG8UpBqkaBJGrE,angry
spotify:track:4WUduEPZZG6wiE9B5IklnY,angry
spotify:track:7sxrWEZenpKgxDxekifRUk,angry
spotify:track:0BAoNo4799TRKGWhgg7hMy,angry
spotify:track:35eAXKpNIwmKAqADGz3wKY,angry
spotify:track:7hVsdXC9zRDiWFfhdmkYC8,happy
spotify:track:5sjEQjDkEYOr1RB6n5acXD,happy
spotify:track:7fKF4HdftIEt3lLAy3rDG6,happy
spotify:track:5X4b5yuoihfPbZMzSOhg8M,angry
spotify:track:0oZw3H6FPKh60aEFvL3q2Z,sad
spotify:track:0UnRCKkL5LCZbaTO0kHKMk,happy
spotify:track:3awm1x3kGmYIVrkNDBFP6U,happy
spotify:track:3Sz51kDvFhngNDinn8WRb5,happy
spotify:track:582EVyAFKmKPa1bVPSDurJ,angry
spotify:track:2MXj4Y1oxBEbrvUG3Xw80G,happy
spotify:track:0vud1aGRNlwzuVGE3AfWzs,happy
spotify:track:6ItGPha13j36IiQlvubGrT,sad
spotify:track:6dBZy6s7ThEQAQz49Ff2dG,sad
spotify:track:0DcBU93zLXGRdPPbUnP1iS,sad
spotify:track:7mV04bSkXpqKyXnMHO6YwN,sad
spotify:track:4pyAfnaYh9K8BszgqxCZ1x,happy
spotify:track:3qEzgPFbtr5PZQPZ3HfZ3v,happy
spotify:track:4AQadviQto69JLxuPUdDgP,sad
spotify:track:4JbKTG0iQ41As64aMNKkit,sad
spotify:track:3EF2VstbPbRUDWpGmzWP7F,happy
spotify:track:2i7VNdupOXVbHD8R4669T7,sad
spotify:track:7iOyMOxdOULvXqUqC26spJ,happy
spotify:track:6ImpVOOzNrrzi5k6HiVSIk,happy
spotify:track:324B66fyk2vci1bYXB4YnL,angry
spotify:track:5kjaMjkQxkJYZiDSIbuIF8,angry
spotify:track:4hqsg6viSC2UoLKUydMFOO,angry
spotify:track:4LCOFsWBoBlGw3qf33dl5V,sad
spotify:track:6oToe0shcqyTZ00Hgdl9ZB,happy
spotify:track:5ucRrHQrCGDeUdL5bKFWk1,sad
spotify:track:5VG4VvKGp6NoBC8nFTtt84,angry
spotify:track:14A2dKF4O0kQD0E5CCX3Jc,sad
spotify:track:4bhTJfVPynHxot7dlVNgq7,angry
spotify:track:6XOtuSLtsnZKhvcW9DBaUL,sad
spotify:track:6vikZR6OvVmDSSgfiQVQgm,happy
spotify:track:1BkeuMWQzM8QNDrAqkmGBM,angry
spotify:track:2uj7b7Kcai6vMm5OhoF4Am,happy
spotify:track:3BuPop8SzLG2Q88TJcFAjp,happy
spotify:track:33m6cNCpgX3oKb8xBH7iyk,happy
spotify:track:7bNX2Fgb4MjPrYbkHaCNwV,happy
spotify:track:0MdMNWw0rpBjQJ4SwQ0qbg,sad
spotify:track:4shgvM4ClrZeDiflNJwlGd,happy
spotify:track:7z73ehYAn9O1XP9XlCqVtd,happy
spotify:track:5Sf7xPHiezqlvGKyFcOuaA,happy
spotify:track:57IEs29xqMQaAkjQ8iQuI0,happy
spotify:track:6QP8JgHuOi0itWXuZ6wdTM,happy
spotify:track:0c9Vl4iBLhsmzttG0X4XhY,sad
spotify:track:5aT0NEQAFMbX5RXe6DYJQK,happy
spotify:track:3iExRKI7vV9RrzvAuXmMTY,sad
spotify:track:0yr1u6QnBDMb7M4nYFLLfb,sad
spotify:track:3zQikNPCgTVnQLmj5RPn1k,sad
spotify:track:7xvBjSznydntipiNDKOh32,happy
spotify:track:2Vi6Ar8PteV4HmwY5SJj3Y,angry
spotify:track:0GHXcGspv1YgHHX15vJQIb,sad
spotify:track:0eaD3F5zUC3Bq8In11nkau,sad
spotify:track:080xNOljajUNra8abAcUqJ,happy
spotify:track:4uhFAUgAadvq6vTHfIkl5B,sad
spotify:track:7M5dDVwoizHbP4jzgps0Fp,happy
spotify:track:5EXD5rXJ4IVb8g4xSwT0fc,sad
spotify:track:1sfTdlWfcFdI7NfmcfZPii,happy
spotify:track:5aN3Cyeoa5x4gc41HOIqeX,sad
spotify:track:4L9l5x0WuzNtyEBeqzvgPE,angry
spotify:track:1FoCSrNyUVF00C8foohH2G,sad
spotify:track:0TgaaBAEf84VqvdTshIdPw,sad
spotify:track:09akcdeCiV2jIl6x9WpmxA,happy
spotify:track:5tlu2nA8GxkDx8UTKG1rLV,sad
spotify:track:10Ne4NBpHuzqkVAh8SYpz2,happy
spotify:track:7BXAjKfpVNGNTpV6XLVKqo,happy
spotify:track:2NinkCNRMUA5PNu7B5Oxax,sad
spotify:track:7bZP1hWx4jVnRUr0FgZ4nR,sad
spotify:track:1Rqxr5PqabCXiC9fsG2TKH,sad
spotify:track:3PiLfzEXHrvT1oJKR8PAJt,happy
spotify:track:11byn9E2NCI65biHtKOLG2,happy
spotify:track:3Kd6Wp3lG5HXMB2dlvuy7y,happy
spotify:track:6u8hSdYZxbK5EczDPRIXXf,happy
spotify:track:0CrQOzVmcdQ4xHfGQeBRGy,happy
spotify:track:1LxKKYsJNPeBdOwdudsJzv,happy
spotify:track:0TFVOjSvPTjFHkiZZekK5k,angry
spotify:track:2Y43TDqgnRgVZA7RxtxEV1,happy
spotify:track:1POAx4NMLOBPVKZUSsBh92,happy
spotify:track:0kyLcWWUVBShK8wTCUQk9D,happy
spotify:track:0Bi1amRigSOIzLc21hOH6p,happy
spotify:track:2qLn0bnOh0QP6KCDqD03fE,happy
spotify:track:6ho88pvz4c8WCSFbdVXNia,happy
spotify:track:4kYYdlQLMk5xm7UHxZrrQa,happy
spotify:track:0RZXNlGPvfMo54fd6uCvAT,happy
spotify:track:17Rcrd4ARqY9CkQGUFPhJS,happy
spotify:track:53DB6LJV9B8sz0p1s6tlGS,angry
spotify:track:28r8mD037GEBPG5a65YdDQ,happy
spotify:track:0nhVrTiCGiGRCoZOJiWzm1,happy
spotify:track:3BFrR2hemusNSuiuNWXUqO,happy
spotify:track:0ORPtlRSmDasaKqmgnuMbC,happy
spotify:track:4QIyEq7TcTdAcxjI2AFlAK,happy
spotify:track:4Xp4BzZc6optsFozG6HTrg,happy
spotify:track:0BU7nIcCZxYSE0hYcc5oZz,happy
spotify:track:1wa6QQsdSE3X2GbRljGpFk,happy
spotify:track:3nw9J97nUugT84SIJdjhAV,happy
spotify:track:5UPNBWFU2TEf9kauIITfBs,happy
spotify:track:6B8pOvEZg9L1CamPMZ5OK2,happy
spotify:track:0hy1SOTEn9ifXTzOwnCwEr,happy
spotify:track:0eJOr5krUsBTTgeytfXekh,sad
spotify:track:0zor3Hre5d5bgHGpbZHNw4,sad
spotify:track:06GZKoIc7zwrJQCZQGyT0Y,happy
spotify:track:2CJtimCSGAn8x6RE3irZFV,happy
spotify:track:1ZV7fPAf98E8sdiZQcBdid,happy
spotify:track:0pEkK8MqbmGSX7fT8WLMbR,happy
spotify:track:3n1HsYVwX6qMvihf5uZDKs,happy
spotify:track:5ZzjNL4J31lqU853Un7T3f,angry
spotify:track:7AvprzMsRJpybaalckaT8c,happy
spotify:track:4EaBMhUIOfnFEbIgqCfKbi,happy
spotify:track:432X5dAW1Xm5bVnVpgEtYk,happy
spotify:track:43aktSsHN3Pgu0dzw3BS5W,happy
spotify:track:0XoDcV08iB5T3XFbXfAghf,happy
spotify:track:1JiTWss0EJ3u084OucEvMS,happy
spotify:track:7eYhN6ciVsXBfb7kVjmvgt,happy
spotify:track:1nZ2TI2hNPGDYyesyaaASn,angry
spotify:track:7IBaWJgk81AoQs6K3VOJds,sad
spotify:track:2Msuiqt9sZojSKLVZcJp1l,happy
spotify:track:5fdKX9OKPUhlU75KoGjGnw,happy
spotify:track:5DmksdbpypZd709H95ES1c,angry
spotify:track:2S4CfxZG29GZWwDeMtBq2R,angry
spotify:track:2bwSCIuNtVrQPVddCi8sOW,happy
spotify:track:3EYYv3zFCpA195On1McQ9c,sad
spotify:track:30raivfq7rSt5nKltiHfzG,happy
spotify:track:0fp7yXkUbwmM8ML6sWu6HW,happy
spotify:track:1geugZHbiGQTSrutZskQZl,sad
spotify:track:3YbtjYddK11NTDdUpC4nGp,happy
spotify:track:4duRCqphyoANSfH8oUl6c2,happy
spotify:track:5qNEPKqPOECw50RpOGT9ne,happy
spotify:track:6WQyaRxqf332knjOMWUMQf,happy
spotify:track:6KEdjhTORrn8HOVeuABlUg,happy
spotify:track:6dyMer5WZ2hpIKNbb9fa1T,happy
spotify:track:6svak3qVN5xdaRDO1K041S,sad
spotify:track:5bXzAgojnc0oOUO2KulQsE,happy
spotify:track:4foJG5ZawCRSi2ZOjagsy6,happy
spotify:track:2DGyaBNTvqMs2us23EoWVK,sad
spotify:track:7mtiuBwNPPM1QkCtsFBBep,happy
spotify:track:7JOizhmt3HlBgQyJEa0AgK,sad
spotify:track:5fBYOjTnd7vhj2CHyrLx4a,happy
spotify:track:1QVbzUYzjNYUUTViCTbTOm,angry
spotify:track:7gvCwHqyGam90gDzqIP5OM,sad
spotify:track:7aukN9Q2B4L6yNGPBb97by,happy
spotify:track:6dqLKzSb6PBqMHAs8PhySK,angry
spotify:track:28LJVZ5PfkIboFoW0J4GgE,sad
spotify:track:23SrDgGLyA20VJwAj5vLog,angry
spotify:track:5KaQzrUnjPYEJI3ajUHNat,sad
spotify:track:22RR5raQ9x7K0e6geLdELP,happy
spotify:track:3BLKY8w5XTehYgLb3cFZgg,sad
spotify:track:7BNwMrGifMw3pvgZHMEJaa,sad
spotify:track:74giZwNMPKn0r537TEHHXj,happy
spotify:track:4f9F6CSTaJeMyvn1Plu89U,sad
spotify:track:79KuYRY31usXtbFSqyc4Zb,sad
spotify:track:0s995gCthqnYJCWGvfKpNt,happy
spotify:track:0AacbmJOiFJydCRQfijNbn,angry
spotify:track:2t3ezqieuK6RRav66q9bQF,sad
spotify:track:3TQxkQsyJS03EUwl02Qaub,sad
spotify:track:5qW6ZYct54PhKliCntyxRX,sad
spotify:track:4SI6ia4b6L5J1n6k42WeHC,sad
spotify:track:03EsYwfN3RbDhU1kVrfffA,sad
spotify:track:4CZrDF50zES5KDHmZbX2BG,happy
spotify:track:4j6mrg4fGP1MVfOPN740VJ,sad
spotify:track:2nww8CKg1BqCh6Eyr6sr6m,happy
spotify:track:3NyovXfcpc8PDWWKH7xEDs,angry
spotify:track:4lb3LoC5Xa5FbL9uB0n3R9,angry
spotify:track:2JpUkUR0OsOlUUfm6iS8ic,happy
spotify:track:0FbSpY8RPxTRxi1Fpj9Dz9,happy
spotify:track:4hXDobvUaXyDFLnmecoY0z,happy
spotify:track:2GlhJyZRWP3MnSXOvnovIa,happy
spotify:track:2biNa12dMbHJrHVFRt8JyO,happy
spotify:track:4ak7xjvBeBOcJGWFDX9w5n,happy
spotify:track:6dPyzkyZwoj9LqjQXOFdVv,happy
spotify:track:43TP6JCWXgkc2D7Xjz5hBr,happy
