name,artist,spotify_id,tags,genre,year,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_track_url
Mr. Brightside,The Killers,09ZQ5TmUG8TSL56n0knqrj,"rock, alternative, indie, alternative_rock, indie_rock, 00s",unknown,2004,222200,0.355,0.918,-4.36,0.0746,0.00119,0.0,0.0971,0.24,148.114,https://open.spotify.com/track/09ZQ5TmUG8TSL56n0knqrj
Wonderwall,Oasis,06UfBBDISthj1ZJAtX4xjj,"rock, alternative, indie, pop, alternative_rock, british, 90s, love, britpop",unknown,2006,258613,0.409,0.892,-4.373,0.0336,0.000807,0.0,0.207,0.651,174.426,https://open.spotify.com/track/06UfBBDISthj1ZJAtX4xjj
Come as You Are,Nirvana,0keNu0t0tqsWtExGM3nT1D,"rock, alternative, alternative_rock, 90s, grunge",RnB,1991,218920,0.508,0.826,-5.783,0.04,0.000175,0.000459,0.0878,0.543,120.012,https://open.spotify.com/track/0keNu0t0tqsWtExGM3nT1D
Take Me Out,Franz Ferdinand,0ancVQ9wEcHVd0RrGICTE4,"rock, alternative, indie, alternative_rock, indie_rock, british, 00s, britpop",unknown,2004,237026,0.279,0.664,-8.851,0.0371,0.000389,0.000655,0.133,0.49,104.56,https://open.spotify.com/track/0ancVQ9wEcHVd0RrGICTE4
Creep,Radiohead,01QoK9DA7VTeTSE3MNzp4I,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, britpop",RnB,2008,238640,0.515,0.43,-9.935,0.0369,0.0102,0.000141,0.129,0.104,91.841,https://open.spotify.com/track/01QoK9DA7VTeTSE3MNzp4I
Somebody Told Me,The Killers,0FNmIQ7u45Lhdn6RHhSLix,"rock, alternative, indie, pop, alternative_rock, indie_rock",unknown,2005,198480,0.508,0.979,-4.289,0.0847,8.71e-05,0.000643,0.0641,0.704,138.03,https://open.spotify.com/track/0FNmIQ7u45Lhdn6RHhSLix
Viva la Vida,Coldplay,08A1lZeyLMWH58DT6aYjnC,"rock, alternative, indie, pop, alternative_rock, british, britpop",unknown,2013,235384,0.588,0.806,-7.903,0.105,0.153,0.0,0.0634,0.52,137.973,https://open.spotify.com/track/08A1lZeyLMWH58DT6aYjnC
Karma Police,Radiohead,01puceOqImrzSfKDAcd1Ia,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, britpop",unknown,1996,264066,0.36,0.505,-9.129,0.026,0.0626,9.22e-05,0.172,0.317,74.807,https://open.spotify.com/track/01puceOqImrzSfKDAcd1Ia
The Scientist,Coldplay,0GSSsT9szp0rJkBrYkzy6s,"rock, alternative, indie, pop, alternative_rock, british, piano, love, beautiful, 00s, britpop, mellow",Rock,2007,311014,0.566,0.429,-7.826,0.0242,0.715,1.44e-05,0.12,0.173,146.365,https://open.spotify.com/track/0GSSsT9szp0rJkBrYkzy6s
Clocks,Coldplay,0BCPKOYdS2jbQ8iyB56Zns,"rock, alternative, indie, pop, alternative_rock, british, chillout, piano, britpop",unknown,2002,307879,0.577,0.749,-7.215,0.0279,0.599,0.0115,0.183,0.255,130.97,https://open.spotify.com/track/0BCPKOYdS2jbQ8iyB56Zns
Under the Bridge,Red Hot Chili Peppers,06zh28PcYIFvNOAz5Wq2Xb,"rock, alternative, alternative_rock, 90s, funk",Pop,2003,265506,0.554,0.49,-8.046,0.0457,0.0168,0.000534,0.136,0.513,84.275,https://open.spotify.com/track/06zh28PcYIFvNOAz5Wq2Xb
